,0
Contract_Month-to-month,0.25743526
tenure_group_1-12,0.072745256
InternetService_Fiber optic,0.059491888
PaymentMethod_Electronic check,0.046476334
Contract_Two year,0.042901676
PaperlessBilling_Yes,0.041999076
InternetService_DSL,0.036921583
InternetService_No,0.036093704
tenure,0.026138943
tenure_group_61+,0.023747949
StreamingTV_No,0.02362126
Contract_One year,0.023446478
OnlineSecurity_Yes,0.022676885
StreamingTV_Yes,0.0194085
TotalCharges,0.018760651
OnlineSecurity_No,0.018683402
PaperlessBilling_No,0.017025825
MonthlyCharges,0.016427146
StreamingMovies_No,0.014587891
TechSupport_No,0.013905041
